frame,latency_ms,fps,detections,objects
1,923.6,1.08,2,person|chair
2,699.14,1.43,2,person|chair
3,692.8,1.44,2,person|chair
4,675.75,1.48,2,person|chair
5,681.7,1.47,2,person|chair
6,683.88,1.46,2,person|chair
7,683.33,1.46,2,person|chair
8,679.61,1.47,2,person|chair
9,687.6,1.45,2,person|chair
10,675.79,1.48,2,person|chair
11,685.21,1.46,2,person|chair
12,682.53,1.47,2,person|chair
13,677.42,1.48,2,person|chair
14,690.94,1.45,2,person|chair
15,684.61,1.46,2,person|chair
16,691.14,1.45,1,person
17,688.72,1.45,2,person|chair
18,690.31,1.45,1,person
19,691.79,1.45,1,person
20,685.53,1.46,2,person|person
21,678.07,1.47,2,person|person
22,683.81,1.46,2,person|person
23,695.45,1.44,2,person|person
24,681.85,1.47,2,person|person
25,677.21,1.48,1,person
26,687.19,1.46,2,person|person
27,682.6,1.46,2,person|person
28,667.4,1.5,2,person|chair
29,673.61,1.48,2,person|chair
30,684.59,1.46,2,person|chair
31,688.3,1.45,2,person|chair
32,687.32,1.45,2,person|chair
33,680.47,1.47,2,person|chair
34,683.97,1.46,1,person
35,689.05,1.45,2,person|chair
36,691.53,1.45,2,person|chair
37,683.37,1.46,2,person|chair
38,679.06,1.47,2,person|chair
39,693.83,1.44,2,person|chair
40,674.19,1.48,2,person|chair
41,679.14,1.47,2,person|chair
42,680.02,1.47,2,person|chair
43,690.86,1.45,2,person|chair
44,681.62,1.47,2,person|chair
45,676.93,1.48,2,person|chair
46,688.54,1.45,2,person|chair
47,688.27,1.45,2,person|chair
48,693.54,1.44,2,person|chair
49,689.24,1.45,3,person|person|chair
50,686.38,1.46,3,person|person|chair
51,692.83,1.44,2,person|chair
52,673.7,1.48,2,person|chair
53,684.78,1.46,2,person|chair
54,688.34,1.45,2,person|chair
55,692.05,1.44,2,person|chair
56,684.03,1.46,2,person|chair
57,687.77,1.45,2,person|chair
58,699.64,1.43,2,person|chair
59,684.15,1.46,2,person|chair
60,672.35,1.49,2,person|chair
61,681.91,1.47,2,person|chair
62,683.13,1.46,2,person|chair
63,692.54,1.44,2,person|chair
64,685.58,1.46,2,person|chair
65,671.65,1.49,2,person|chair
66,683.85,1.46,2,person|chair
67,712.93,1.4,3,person|chair|chair
68,674.42,1.48,3,person|chair|chair
69,678.38,1.47,3,person|chair|chair
70,691.59,1.45,3,person|chair|chair
71,685.18,1.46,3,person|chair|chair
72,687.34,1.45,3,person|chair|chair
73,678.19,1.47,3,person|chair|chair
74,689.57,1.45,4,person|person|chair|chair
75,682.78,1.46,0,
76,691.3,1.45,0,
77,686.62,1.46,0,
78,686.02,1.46,0,
79,687.62,1.45,0,
80,687.21,1.46,0,
81,678.65,1.47,0,
82,689.96,1.45,0,
83,692.26,1.44,3,person|chair|chair
84,676.33,1.48,2,person|chair
85,683.12,1.46,2,person|chair
86,680.21,1.47,1,person
87,688.43,1.45,0,
88,679.37,1.47,1,person
89,678.6,1.47,1,person
90,681.94,1.47,1,person
91,688.54,1.45,2,person|person
92,693.8,1.44,2,person|person
93,673.05,1.49,2,person|person
94,690.95,1.45,0,
95,690.82,1.45,1,person
96,688.3,1.45,1,person
97,689.76,1.45,2,person|person
98,687.72,1.45,1,person
99,691.31,1.45,2,person|person
100,691.44,1.45,1,person
